TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
896,F84718,4,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,25.92,298.66667,THE BLITHEHALE MED.CTR.,24.32918,Metformin 500mg modified-release tablets,224,51.52377,-0.0651999
196,F84030,28,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,5.04,65.33333,RUSTON STREET CLINIC,7.86823,Metformin 500mg tablets,7,51.5363018,-0.027021075
336,F84696,1,Metformin hydrochloride,06: Endocrine System,E3 5JD,23-Oct,8.52,112,TREDEGAR PRACTICE,7.99319,Metformin 500mg tablets,336,51.53114,-0.03161
112,F84025,1,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Oct,12.8,74.66667,GOUGH WALK PRACTICE,12.00232,Glucophage SR 1000mg tablets,112,51.51021763,-0.012408367
168,F84710,12,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Oct,4.92,56,ISLAND HEALTH,5.95742,Metformin 500mg modified-release tablets,14,51.4953206,-0.0131985
1960,F84747,35,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,49.7,653.33333,THE BARKANTINE PRACTICE,46.9886,Metformin 500mg tablets,56,51.50071373,-0.025713573
56,F84714,1,Metformin hydrochloride,06: Endocrine System,,23-Oct,3.97,37.33333,ST.PAUL'S WAY MEDICAL CTR,3.73115,Sukkarto SR 1000mg tablets,56,,
1008,F84012,9,Metformin hydrochloride,06: Endocrine System,E1 1BU,23-Oct,29.16,336,ALBION HEALTH CENTRE,27.42613,Metformin 500mg modified-release tablets,112,51.51994993,-0.057492667
924,F84087,11,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,23.43,308,HARFORD HEALTH CENTRE,22.08357,Metformin 500mg tablets,84,51.51835505,-0.03830635
56,F84081,1,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Oct,1.03,31.73333,THE SPITALFIELDS PRACTICE,0.97721,Metformin 850mg tablets,56,51.5173976,-0.0696235
56,F84733,1,Metformin hydrochloride/sitagliptin,06: Endocrine System,E1 6PU,23-Oct,33.26,28,HEALTH E1,31.16745,Janumet 50mg/1000mg tablets,56,51.51840149,-0.071586891
224,F84051,2,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Oct,15.88,149.33333,STROUTS PLACE MEDICAL CENTRE,14.89979,Sukkarto SR 1000mg tablets,112,51.52948,-0.0741499
336,F84016,1,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Oct,8.52,112,THE MISSION PRACTICE,7.99319,Metformin 500mg tablets,336,51.53137,-0.05648
112,F84025,4,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Oct,7.96,37.33333,GOUGH WALK PRACTICE,7.50583,Glucophage SR 500mg tablets,28,51.51021763,-0.012408367
3584,F84698,32,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Oct,90.88,1194.66667,ABERFELDY PRACTICE,85.52521,Metformin 500mg tablets,112,51.51448982,-0.004900067
28,F84031,4,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,0.8,9.33333,THE JUBILEE STREET PRACTICE LTD,1.19897,Metformin 500mg modified-release tablets,7,51.5135999,-0.05055
1008,F84039,4,Metformin hydrochloride,06: Endocrine System,E1 8ZF,23-Oct,25.56,336,GOODMAN'S FIELD HEALTH CENTRE,23.99197,Metformin 500mg tablets,252,51.5130236,-0.0687569
112,F84039,1,Metformin hydrochloride,06: Endocrine System,E1 8ZF,23-Oct,7.94,74.66667,GOODMAN'S FIELD HEALTH CENTRE,7.4499,Sukkarto SR 1000mg tablets,112,51.5130236,-0.0687569
112,F84083,2,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Oct,5.06,74.66667,BETHNAL GREEN HEALTH CTR.,4.76456,Metformin 1g modified-release tablets,56,51.5269199,-0.06426
28,F84030,2,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,1.26,18.66667,RUSTON STREET CLINIC,1.40506,Metformin 1g modified-release tablets,14,51.5363018,-0.027021075
56,F84118,8,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Oct,1.44,18.66667,WELLINGTON WAY HEALTH CENTRE,2.24807,Metformin 500mg tablets,7,51.52589465,-0.02501745
120,F84025,1,Metformin hydrochloride/vildagliptin,06: Endocrine System,E14 0EY,23-Oct,71.36,0,GOUGH WALK PRACTICE,66.85619,Eucreas 50mg/1000mg tablets,120,51.51021763,-0.012408367
252,F84062,1,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,4.64,142.8,THE CHRISP STREET HTH CTR,4.45874,Metformin 850mg tablets,252,51.5141762,-0.0143071
84,F84054,1,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,1.55,47.6,THE LIMEHOUSE PRACTICE,1.5643,Metformin 850mg tablets,84,51.5112472,-0.0287506
1680,F84114,120,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,43.2,560,CITY SQUARE MEDICAL GROUP,53.95397,Metformin 500mg tablets,14,51.5139726,-0.0550705
448,F84122,2,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Oct,19.84,149.33333,XX PLACE HEALTH CENTRE,18.60917,Sukkarto SR 500mg tablets,224,51.52468015,-0.04266905
336,F84039,2,Metformin hydrochloride,06: Endocrine System,E1 8ZF,23-Oct,9.72,112,GOODMAN'S FIELD HEALTH CENTRE,9.12964,Metformin 500mg modified-release tablets,168,51.5130236,-0.0687569
392,F84025,7,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Oct,11.34,130.66667,GOUGH WALK PRACTICE,10.70912,Metformin 500mg modified-release tablets,56,51.51021763,-0.012408367
448,F84698,16,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Oct,19.84,149.33333,ABERFELDY PRACTICE,20.38277,Sukkarto SR 500mg tablets,28,51.51448982,-0.004900067
252,F84714,12,Metformin hydrochloride,06: Endocrine System,,23-Oct,6.36,84,ST.PAUL'S WAY MEDICAL CTR,7.30629,Metformin 500mg tablets,21,,
1344,F84714,6,Metformin hydrochloride,06: Endocrine System,,23-Oct,59.52,448,ST.PAUL'S WAY MEDICAL CTR,55.82751,Sukkarto SR 500mg tablets,224,,
2520,F84114,15,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,63.9,840,CITY SQUARE MEDICAL GROUP,60.04191,Metformin 500mg tablets,168,51.5139726,-0.0550705
2800,F84087,25,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,124,933.33333,HARFORD HEALTH CENTRE,116.46232,Sukkarto SR 500mg tablets,112,51.51835505,-0.03830635
224,F84087,16,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,9.92,74.66667,HARFORD HEALTH CENTRE,11.09059,Sukkarto SR 500mg tablets,14,51.51835505,-0.03830635
1456,F84051,26,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Oct,36.92,485.33333,STROUTS PLACE MEDICAL CENTRE,34.90582,Metformin 500mg tablets,56,51.52948,-0.0741499
112,F84025,2,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Oct,5.06,74.66667,GOUGH WALK PRACTICE,4.76456,Metformin 1g modified-release tablets,56,51.51021763,-0.012408367
224,F84698,1,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Oct,15.88,149.33333,ABERFELDY PRACTICE,14.88739,Sukkarto SR 1000mg tablets,224,51.51448982,-0.004900067
112,F84647,2,Metformin hydrochloride,06: Endocrine System,E14 3PG,23-Oct,5.06,74.66667,ROSERTON STREET SURGERY,4.76456,Metformin 1g modified-release tablets,56,51.4983713,-0.01008765
896,F84062,4,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,39.68,298.66667,THE CHRISP STREET HTH CTR,37.21834,Sukkarto SR 500mg tablets,224,51.5141762,-0.0143071
112,F84747,16,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,2.88,37.33333,THE BARKANTINE PRACTICE,4.49613,Metformin 500mg tablets,7,51.50071373,-0.025713573
2352,F84747,14,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,59.64,784,THE BARKANTINE PRACTICE,56.03912,Metformin 500mg tablets,168,51.50071373,-0.025713573
672,F84731,1,Metformin hydrochloride,06: Endocrine System,E1W 1UA,23-Oct,17.04,224,ST. KATHERINE'S DOCK PRACTICE,15.97398,Metformin 500mg tablets,672,51.5071804,-0.0682198
7840,F84122,70,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Oct,198.8,2613.33333,XX PLACE HEALTH CENTRE,187.0864,Metformin 500mg tablets,112,51.52468015,-0.04266905
24304,F84087,217,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,616.28,8101.33333,HARFORD HEALTH CENTRE,579.96784,Metformin 500mg tablets,112,51.51835505,-0.03830635
168,F84718,1,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,7.59,112,THE BLITHEHALE MED.CTR.,7.12205,Metformin 1g modified-release tablets,168,51.52377,-0.0651999
84,F84030,1,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,9.6,42,RUSTON STREET CLINIC,9.10484,Metformin 750mg modified-release tablets,84,51.5363018,-0.027021075
224,F84030,16,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,5.76,74.66667,RUSTON STREET CLINIC,7.19386,Metformin 500mg tablets,14,51.5363018,-0.027021075
714,F84118,51,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Oct,20.91,238,WELLINGTON WAY HEALTH CENTRE,25.31905,Metformin 500mg modified-release tablets,14,51.52589465,-0.02501745
896,F84055,8,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Oct,22.72,298.66667,THE GROVE ROAD SURGERY,21.3813,Metformin 500mg tablets,112,51.52979,-0.03887
5040,F84062,15,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,127.8,1680,THE CHRISP STREET HTH CTR,119.89783,Metformin 500mg tablets,336,51.5141762,-0.0143071
28,F84054,4,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,0.8,9.33333,THE LIMEHOUSE PRACTICE,1.19897,Metformin 500mg modified-release tablets,7,51.5112472,-0.0287506
448,F84656,4,Metformin hydrochloride,06: Endocrine System,E14 9WU,23-Oct,19.84,149.33333,DOCKLANDS MEDICAL CENTRE,18.63397,Sukkarto SR 500mg tablets,112,51.4911493,-0.0211539
112,F84714,1,Metformin hydrochloride,06: Endocrine System,,23-Oct,5.06,74.66667,ST.PAUL'S WAY MEDICAL CTR,4.75216,Metformin 1g modified-release tablets,112,,
84,F84718,4,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,2.44,28,THE BLITHEHALE MED.CTR.,2.73518,Metformin 500mg modified-release tablets,21,51.52377,-0.0651999
336,F84016,3,Metformin hydrochloride/sitagliptin,06: Endocrine System,E2 9LS,23-Oct,199.56,168,THE MISSION PRACTICE,186.9675,Metformin 1g / Sitagliptin 50mg tablets,112,51.53137,-0.05648
112,F84034,16,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,2.88,37.33333,ST.STEPHENS HEALTH CENTRE,4.49613,Metformin 500mg tablets,7,51.5321726,-0.03100495
56,F84710,1,Metformin hydrochloride/pioglitazone,06: Endocrine System,E14 3BQ,23-Oct,45.18,28,ISLAND HEALTH,42.33306,Pioglitazone 15mg / Metformin 850mg tablets,56,51.4953206,-0.0131985
672,F84031,12,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,47.64,448,THE JUBILEE STREET PRACTICE LTD,44.77377,Sukkarto SR 1000mg tablets,56,51.5135999,-0.05055
168,F84083,6,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Oct,7.44,56,BETHNAL GREEN HEALTH CTR.,7.64354,Sukkarto SR 500mg tablets,28,51.5269199,-0.06426
588,F84016,7,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Oct,14.91,196,THE MISSION PRACTICE,14.05318,Metformin 500mg tablets,84,51.53137,-0.05648
112,F84698,8,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Oct,200.4,74.66667,ABERFELDY PRACTICE,188.61634,Metformin 1g tablets,14,51.51448982,-0.004900067
504,F84647,3,Metformin hydrochloride,06: Endocrine System,E14 3PG,23-Oct,22.32,168,ROSERTON STREET SURGERY,20.94462,Sukkarto SR 500mg tablets,168,51.4983713,-0.01008765
56,F84731,4,Metformin hydrochloride,06: Endocrine System,E1W 1UA,23-Oct,1.44,18.66667,ST. KATHERINE'S DOCK PRACTICE,1.79847,Metformin 500mg tablets,14,51.5071804,-0.0682198
196,F84031,14,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,3.64,111.06667,THE JUBILEE STREET PRACTICE LTD,4.98323,Metformin 850mg tablets,14,51.5135999,-0.05055
84,F84114,1,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,1.55,47.6,CITY SQUARE MEDICAL GROUP,1.5643,Metformin 850mg tablets,84,51.5139726,-0.0550705
56,F84039,1,Metformin hydrochloride/sitagliptin,06: Endocrine System,E1 8ZF,23-Oct,33.26,28,GOODMAN'S FIELD HEALTH CENTRE,31.16745,Metformin 1g / Sitagliptin 50mg tablets,56,51.5130236,-0.0687569
252,F84718,1,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,6.39,84,THE BLITHEHALE MED.CTR.,5.99799,Metformin 500mg tablets,252,51.52377,-0.0651999
168,F84718,2,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,4.86,56,THE BLITHEHALE MED.CTR.,4.77722,Metformin 500mg modified-release tablets,84,51.52377,-0.0651999
28,F84118,1,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Oct,1.99,18.66667,WELLINGTON WAY HEALTH CENTRE,1.97646,Sukkarto SR 1000mg tablets,28,51.52589465,-0.02501745
84,F84656,1,Metformin hydrochloride,06: Endocrine System,E14 9WU,23-Oct,1.55,47.6,DOCKLANDS MEDICAL CENTRE,1.5643,Metformin 850mg tablets,84,51.4911493,-0.0211539
280,F84079,5,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Oct,12.65,186.66667,THE WAPPING GROUP PRACTICE,11.91141,Metformin 1g modified-release tablets,56,51.50533401,-0.058222367
120,F84034,1,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,3.04,40,ST.STEPHENS HEALTH CENTRE,2.96001,Metformin 500mg tablets,120,51.5321726,-0.03100495
112,F84647,8,Metformin hydrochloride,06: Endocrine System,E14 3PG,23-Oct,5.04,74.66667,ROSERTON STREET SURGERY,5.62023,Metformin 1g modified-release tablets,14,51.4983713,-0.01008765
672,F84062,2,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,19.44,224,THE CHRISP STREET HTH CTR,18.23449,Metformin 500mg modified-release tablets,336,51.5141762,-0.0143071
280,F84747,5,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,21.42,186.66667,THE BARKANTINE PRACTICE,20.12638,Sukkarto SR 1000mg tablets,56,51.50071373,-0.025713573
112,F84656,4,Metformin hydrochloride,06: Endocrine System,E14 9WU,23-Oct,7.96,37.33333,DOCKLANDS MEDICAL CENTRE,7.50583,Glucophage SR 500mg tablets,28,51.4911493,-0.0211539
84,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,2.43,28,THE JUBILEE STREET PRACTICE LTD,2.38861,Metformin 500mg modified-release tablets,84,51.5135999,-0.05055
112,F84718,2,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,3.24,37.33333,THE BLITHEHALE MED.CTR.,3.05975,Metformin 500mg modified-release tablets,56,51.52377,-0.0651999
308,F84051,44,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Oct,7.92,102.66667,STROUTS PLACE MEDICAL CENTRE,12.36436,Metformin 500mg tablets,7,51.52948,-0.0741499
168,F84034,2,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,3.1,95.2,ST.STEPHENS HEALTH CENTRE,3.12861,Metformin 850mg tablets,84,51.5321726,-0.03100495
84,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,5.97,28,THE JUBILEE STREET PRACTICE LTD,5.60457,Glucophage SR 500mg tablets,84,51.5135999,-0.05055
2968,F84083,53,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Oct,75.26,989.33333,BETHNAL GREEN HEALTH CTR.,71.15417,Metformin 500mg tablets,56,51.5269199,-0.06426
6160,F84044,220,Metformin hydrochloride,06: Endocrine System,E3 2AT,23-Oct,156.2,2053.33333,HARLEY GROVE MEDICAL CTR.,149.04246,Metformin 500mg tablets,28,51.5285212,-0.0288617
112,Y03023,8,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,4.96,37.33333,ST ANDREWS HEALTH CENTRE,5.54529,Sukkarto SR 500mg tablets,14,51.5238708,-0.014907
560,F84025,5,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Oct,10.3,317.33333,GOUGH WALK PRACTICE,9.71014,Metformin 850mg tablets,112,51.51021763,-0.012408367
28,F84656,4,Metformin hydrochloride,06: Endocrine System,E14 9WU,23-Oct,2,18.66667,DOCKLANDS MEDICAL CENTRE,2.32302,Sukkarto SR 1000mg tablets,7,51.4911493,-0.0211539
7392,F84114,22,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,187.44,2464,CITY SQUARE MEDICAL GROUP,175.85015,Metformin 500mg tablets,336,51.5139726,-0.0550705
112,F84030,1,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,2.06,63.46667,RUSTON STREET CLINIC,1.94203,Metformin 850mg tablets,112,51.5363018,-0.027021075
336,Y03023,3,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,23.82,224,ST ANDREWS HEALTH CENTRE,22.34969,Sukkarto SR 1000mg tablets,112,51.5238708,-0.014907
896,Y03023,16,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,22.72,298.66667,ST ANDREWS HEALTH CENTRE,21.4805,Metformin 500mg tablets,56,51.5238708,-0.014907
280,Y03023,20,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,19.8,186.66667,ST ANDREWS HEALTH CENTRE,20.7949,Sukkarto SR 1000mg tablets,14,51.5238708,-0.014907
4872,Y03023,29,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,123.54,1624,ST ANDREWS HEALTH CENTRE,116.08103,Metformin 500mg tablets,168,51.5238708,-0.014907
1680,F84034,30,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,42.6,560,ST.STEPHENS HEALTH CENTRE,40.27594,Metformin 500mg tablets,56,51.5321726,-0.03100495
56,F84034,4,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,2.52,37.33333,ST.STEPHENS HEALTH CENTRE,2.81011,Metformin 1g modified-release tablets,14,51.5321726,-0.03100495
224,F84696,2,Metformin hydrochloride,06: Endocrine System,E3 5JD,23-Oct,10.12,149.33333,TREDEGAR PRACTICE,9.50433,Metformin 1g modified-release tablets,112,51.53114,-0.03161
56,F84055,4,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Oct,1.64,18.66667,THE GROVE ROAD SURGERY,1.98581,Metformin 500mg modified-release tablets,14,51.52979,-0.03887
28,F84710,4,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Oct,0.8,9.33333,ISLAND HEALTH,1.19897,Metformin 500mg modified-release tablets,7,51.4953206,-0.0131985
42,F84054,3,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,1.23,14,THE LIMEHOUSE PRACTICE,1.48936,Metformin 500mg modified-release tablets,14,51.5112472,-0.0287506
56,F84714,1,Metformin hydrochloride,06: Endocrine System,,23-Oct,2.53,37.33333,ST.PAUL'S WAY MEDICAL CTR,2.38228,Metformin 1g modified-release tablets,56,,
368,F84031,2,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,9.34,122.66667,THE JUBILEE STREET PRACTICE LTD,8.97369,Metformin 500mg tablets,184,51.5135999,-0.05055
28,F84114,4,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,0.8,9.33333,CITY SQUARE MEDICAL GROUP,1.19897,Metformin 500mg modified-release tablets,7,51.5139726,-0.0550705
336,F84122,24,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Oct,15.12,224,XX PLACE HEALTH CENTRE,16.86069,Metformin 1g modified-release tablets,14,51.52468015,-0.04266905
84,F84087,1,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,9.6,42,HARFORD HEALTH CENTRE,9.10484,Metformin 750mg modified-release tablets,84,51.51835505,-0.03830635
112,F84083,1,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Oct,2.06,63.46667,BETHNAL GREEN HEALTH CTR.,1.94203,Metformin 850mg tablets,112,51.5269199,-0.06426
2520,F84051,15,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Oct,63.9,840,STROUTS PLACE MEDICAL CENTRE,60.04191,Metformin 500mg tablets,168,51.52948,-0.0741499
42,F84118,1,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Oct,0.77,23.8,WELLINGTON WAY HEALTH CENTRE,0.83367,Metformin 850mg tablets,42,51.52589465,-0.02501745
600,F84718,1,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Oct,110.04,40,THE BLITHEHALE MED.CTR.,103.08822,Metformin 500mg/5ml oral solution sugar free,600,51.52377,-0.0651999
1540,F84044,55,Metformin hydrochloride,06: Endocrine System,E3 2AT,23-Oct,44.55,513.33333,HARLEY GROVE MEDICAL CTR.,47.91253,Metformin 500mg modified-release tablets,28,51.5285212,-0.0288617
1008,F84698,18,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Oct,25.56,336,ABERFELDY PRACTICE,24.16557,Metformin 500mg tablets,56,51.51448982,-0.004900067
252,F84062,3,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,4.65,142.8,THE CHRISP STREET HTH CTR,4.69291,Metformin 850mg tablets,84,51.5141762,-0.0143071
3024,F84054,9,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,87.48,1008,THE LIMEHOUSE PRACTICE,82.05519,Metformin 500mg modified-release tablets,336,51.5112472,-0.0287506
560,F84054,5,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,25.3,373.33333,THE LIMEHOUSE PRACTICE,23.76082,Metformin 1g modified-release tablets,112,51.5112472,-0.0287506
840,F84747,60,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,21.6,280,THE BARKANTINE PRACTICE,26.97699,Metformin 500mg tablets,14,51.50071373,-0.025713573
1302,F84031,62,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,24.18,737.8,THE JUBILEE STREET PRACTICE LTD,29.6185,Metformin 850mg tablets,21,51.5135999,-0.05055
168,F84123,12,Metformin hydrochloride,06: Endocrine System,E2 0FA,23-Oct,3.12,95.2,SUTTONS WHARF HEALTH CENTRE,4.27134,Metformin 850mg tablets,14,51.5291892,-0.0417677
15456,F84118,138,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Oct,391.92,5151.99999,WELLINGTON WAY HEALTH CENTRE,368.82748,Metformin 500mg tablets,112,51.52589465,-0.02501745
112,F84034,2,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,2.06,63.46667,ST.STEPHENS HEALTH CENTRE,1.95443,Metformin 850mg tablets,56,51.5321726,-0.03100495
1344,F84031,48,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,64.42,448,THE JUBILEE STREET PRACTICE LTD,64.7382,Sukkarto SR 500mg tablets,28,51.5135999,-0.05055
2520,F84122,30,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Oct,63.9,840,XX PLACE HEALTH CENTRE,60.22791,Metformin 500mg tablets,84,51.52468015,-0.04266905
224,F84087,1,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,9.92,74.66667,HARFORD HEALTH CENTRE,9.30459,Sukkarto SR 500mg tablets,224,51.51835505,-0.03830635
112,F84055,1,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Oct,3.24,37.33333,THE GROVE ROAD SURGERY,3.04735,Metformin 500mg modified-release tablets,112,51.52979,-0.03887
84,F84747,3,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,3.81,56,THE BARKANTINE PRACTICE,3.90607,Metformin 1g modified-release tablets,28,51.50071373,-0.025713573
896,F84031,8,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,39.68,298.66667,THE JUBILEE STREET PRACTICE LTD,37.26794,Sukkarto SR 500mg tablets,112,51.5135999,-0.05055
1120,F84031,10,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Oct,32.4,373.33333,THE JUBILEE STREET PRACTICE LTD,30.47348,Metformin 500mg modified-release tablets,112,51.5135999,-0.05055
168,F84087,2,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Oct,7.44,56,HARFORD HEALTH CENTRE,7.19394,Sukkarto SR 500mg tablets,84,51.51835505,-0.03830635
924,F84081,11,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Oct,23.43,308,THE SPITALFIELDS PRACTICE,22.08357,Metformin 500mg tablets,84,51.5173976,-0.0696235
336,Y03023,2,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Oct,15.18,224,ST ANDREWS HEALTH CENTRE,14.24409,Metformin 1g modified-release tablets,168,51.5238708,-0.014907
56,F84034,8,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,4,37.33333,ST.STEPHENS HEALTH CENTRE,4.64605,Sukkarto SR 1000mg tablets,7,51.5321726,-0.03100495
420,F84034,15,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Oct,18.6,140,ST.STEPHENS HEALTH CENTRE,19.10885,Sukkarto SR 500mg tablets,28,51.5321726,-0.03100495
360,F84710,1,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Oct,9.13,120,ISLAND HEALTH,8.66458,Metformin 500mg tablets,360,51.4953206,-0.0131985
112,F84062,2,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Oct,4.96,37.33333,THE CHRISP STREET HTH CTR,4.67089,Sukkarto SR 500mg tablets,56,51.5141762,-0.0143071
1120,F84054,80,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Oct,50.4,746.66667,THE LIMEHOUSE PRACTICE,56.2023,Metformin 1g modified-release tablets,14,51.5112472,-0.0287506
240,F84747,2,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Oct,6.08,80,THE BARKANTINE PRACTICE,5.92001,Metformin 500mg tablets,120,51.50071373,-0.025713573
322,F84114,23,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Oct,14.49,214.66667,CITY SQUARE MEDICAL GROUP,16.15816,Metformin 1g modified-release tablets,14,51.5139726,-0.0550705
896,F84122,4,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Oct,25.92,298.66667,XX PLACE HEALTH CENTRE,24.32918,Metformin 500mg modified-release tablets,224,51.52468015,-0.04266905
3192,F84081,228,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Oct,82.08,1064,THE SPITALFIELDS PRACTICE,102.51254,Metformin 500mg tablets,14,51.5173976,-0.0696235
1568,F84030,14,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Oct,39.76,522.66667,RUSTON STREET CLINIC,37.41728,Metformin 500mg tablets,112,51.5363018,-0.027021075
