TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
336,F84122,2,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,9.96,112,XX PLACE HEALTH CENTRE,9.35532,Metformin 500mg modified-release tablets,168,51.52468015,-0.04266905
182,F84081,13,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Jul,20.8,91,THE SPITALFIELDS PRACTICE,20.94663,Metformin 750mg modified-release tablets,14,51.5173976,-0.0696235
672,F84051,48,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Jul,19.2,224,STROUTS PLACE MEDICAL CENTRE,23.38175,Metformin 500mg tablets,14,51.52948,-0.0741499
224,Y03023,2,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Jul,9.92,74.66667,ST ANDREWS HEALTH CENTRE,9.31785,Sukkarto SR 500mg tablets,112,51.5238708,-0.014907
600,F84710,1,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,112.2,40,ISLAND HEALTH,105.12132,Metformin 500mg/5ml oral solution sugar free,600,51.4953206,-0.0131985
300,F84012,1,Metformin hydrochloride,06: Endocrine System,E1 1BU,23-Jul,6.7,170,ALBION HEALTH CENTRE,6.38896,Metformin 850mg tablets,300,51.51994993,-0.057492667
84,F84087,12,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Jul,1.92,47.6,HARFORD HEALTH CENTRE,3.14746,Metformin 850mg tablets,7,51.51835505,-0.03830635
168,F84062,2,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,3.76,95.2,THE CHRISP STREET HTH CTR,3.74717,Metformin 850mg tablets,84,51.5141762,-0.0143071
861,F84062,41,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,24.19,287,THE CHRISP STREET HTH CTR,27.26958,Metformin 500mg tablets,21,51.5141762,-0.0143071
120,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,3.39,40,THE JUBILEE STREET PRACTICE LTD,3.28815,Metformin 500mg tablets,120,51.5135999,-0.05055
168,F84081,1,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Jul,4.98,56,THE SPITALFIELDS PRACTICE,4.67766,Metformin 500mg modified-release tablets,168,51.5173976,-0.0696235
336,F84016,6,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Jul,9.96,112,THE MISSION PRACTICE,9.40492,Metformin 500mg modified-release tablets,56,51.53137,-0.05648
168,F84118,1,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Jul,4.98,56,WELLINGTON WAY HEALTH CENTRE,4.67766,Metformin 500mg modified-release tablets,168,51.52589465,-0.02501745
336,F84025,8,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Jul,9.52,112,GOUGH WALK PRACTICE,9.81753,Metformin 500mg tablets,42,51.51021763,-0.012408367
504,F84710,36,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,14.4,168,ISLAND HEALTH,17.53631,Metformin 500mg tablets,14,51.4953206,-0.0131985
336,F84714,3,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,23.82,224,ST.PAUL'S WAY MEDICAL CTR,22.35177,Sukkarto SR 1000mg tablets,112,51.51800955,-0.02460595
56,F84714,1,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,2.39,18.66667,ST.PAUL'S WAY MEDICAL CTR,2.25135,Yaltormin SR 500mg tablets,56,51.51800955,-0.02460595
70,F84054,1,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,1.98,23.33333,THE LIMEHOUSE PRACTICE,1.96726,Metformin 500mg tablets,70,51.5112472,-0.0287506
112,F84122,4,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,4.8,37.33333,XX PLACE HEALTH CENTRE,4.54624,Yaltormin SR 500mg tablets,28,51.52468015,-0.04266905
2240,F84123,10,Metformin hydrochloride,06: Endocrine System,E2 0FA,23-Jul,66.4,746.66667,SUTTONS WHARF HEALTH CENTRE,62.3275,Metformin 500mg modified-release tablets,224,51.5291892,-0.0417677
441,F84016,21,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Jul,9.87,249.9,THE MISSION PRACTICE,11.60661,Metformin 850mg tablets,21,51.53137,-0.05648
1792,F84034,64,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Jul,53.12,597.33333,ST.STEPHENS HEALTH CENTRE,56.9564,Metformin 500mg modified-release tablets,28,51.5321726,-0.03100495
5516,F84710,197,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,155.63,1838.66666,ISLAND HEALTH,148.23693,Metformin 500mg tablets,28,51.4953206,-0.0131985
112,F84710,16,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,3.2,37.33333,ISLAND HEALTH,4.79616,Metformin 500mg tablets,7,51.4953206,-0.0131985
336,F84054,3,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,13.5,224,THE LIMEHOUSE PRACTICE,12.684,Metformin 1g modified-release tablets,112,51.5112472,-0.0287506
1008,F84087,9,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Jul,29.88,336,HARFORD HEALTH CENTRE,28.10317,Metformin 500mg modified-release tablets,112,51.51835505,-0.03830635
84,F84016,12,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Jul,2.52,28,THE MISSION PRACTICE,3.70954,Metformin 500mg modified-release tablets,7,51.53137,-0.05648
756,F84044,54,Metformin hydrochloride,06: Endocrine System,E3 2AT,23-Jul,21.6,252,HARLEY GROVE MEDICAL CTR.,26.30447,Metformin 500mg tablets,14,51.5285212,-0.0288617
840,Y03023,5,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Jul,59.55,560,ST ANDREWS HEALTH CENTRE,55.84842,Sukkarto SR 1000mg tablets,168,51.5238708,-0.014907
56,F84118,1,Metformin hydrochloride/sitagliptin,06: Endocrine System,E3 4NE,23-Jul,33.26,28,WELLINGTON WAY HEALTH CENTRE,31.17036,Metformin 1g / Sitagliptin 50mg tablets,56,51.52589465,-0.02501745
364,F84696,26,Metformin hydrochloride,06: Endocrine System,E3 5JD,23-Jul,14.56,242.66667,TREDEGAR PRACTICE,16.5622,Metformin 1g modified-release tablets,14,51.53114,-0.03161
336,F84055,12,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Jul,9.96,112,THE GROVE ROAD SURGERY,10.67932,Metformin 500mg modified-release tablets,28,51.52979,-0.03887
1680,F84062,10,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,47.4,560,THE CHRISP STREET HTH CTR,44.5283,Metformin 500mg tablets,168,51.5141762,-0.0143071
56,F84714,1,Metformin hydrochloride,06: Endocrine System,E14 7LJ,23-Jul,2.48,18.66667,ST.PAUL'S WAY MEDICAL CTR,2.33566,Sukkarto SR 500mg tablets,56,51.51800955,-0.02460595
112,F84114,1,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Jul,3.84,37.33333,CITY SQUARE MEDICAL GROUP,3.70971,Glucophage 500mg tablets,112,51.5139726,-0.0550705
112,F84122,2,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,2.5,63.46667,XX PLACE HEALTH CENTRE,2.3668,Metformin 850mg tablets,56,51.52468015,-0.04266905
735,F84051,35,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Jul,16.45,416.5,STROUTS PLACE MEDICAL CENTRE,19.34435,Metformin 850mg tablets,21,51.52948,-0.0741499
952,F84025,17,Metformin hydrochloride,06: Endocrine System,E14 0EY,23-Jul,26.86,317.33333,GOUGH WALK PRACTICE,25.37324,Metformin 500mg tablets,56,51.51021763,-0.012408367
798,F84698,57,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Jul,56.43,532,ABERFELDY PRACTICE,59.2704,Sukkarto SR 1000mg tablets,14,51.51448982,-0.004900067
11200,F84710,50,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,316,3733.33333,ISLAND HEALTH,296.64869,Metformin 500mg tablets,224,51.4953206,-0.0131985
168,F84054,8,Metformin hydrochloride,06: Endocrine System,E14 8HQ,23-Jul,3.76,95.2,THE LIMEHOUSE PRACTICE,4.42157,Metformin 850mg tablets,21,51.5112472,-0.0287506
672,F84079,2,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,18.96,224,THE WAPPING GROUP PRACTICE,17.78652,Metformin 500mg tablets,336,51.50533401,-0.058222367
280,F84031,5,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,8.3,93.33333,THE JUBILEE STREET PRACTICE LTD,7.83744,Metformin 500mg modified-release tablets,56,51.5135999,-0.05055
56,F84114,4,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Jul,1.24,31.73333,CITY SQUARE MEDICAL GROUP,1.61123,Metformin 850mg tablets,14,51.5139726,-0.0550705
2268,F84039,27,Metformin hydrochloride,06: Endocrine System,E1 8ZF,23-Jul,63.99,756,GOODMAN'S FIELD HEALTH CENTRE,60.28061,Metformin 500mg tablets,84,51.5130236,-0.0687569
252,F84118,3,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Jul,7.11,84,WELLINGTON WAY HEALTH CENTRE,6.69785,Metformin 500mg tablets,84,51.52589465,-0.02501745
2296,F84034,164,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Jul,65.6,765.33333,ST.STEPHENS HEALTH CENTRE,79.88766,Metformin 500mg tablets,14,51.5321726,-0.03100495
600,F84710,1,Metformin hydrochloride,06: Endocrine System,E14 3BQ,23-Jul,320,80,ISLAND HEALTH,299.78829,Metformin 1g/5ml oral solution sugar free,600,51.4953206,-0.0131985
84,F84062,1,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,3.38,56,THE CHRISP STREET HTH CTR,3.27878,Metformin 1g modified-release tablets,84,51.5141762,-0.0143071
9324,F84114,333,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Jul,263.07,3108,CITY SQUARE MEDICAL GROUP,250.57308,Metformin 500mg tablets,28,51.5139726,-0.0550705
6272,F84016,224,Metformin hydrochloride,06: Endocrine System,E2 9LS,23-Jul,176.96,2090.66666,THE MISSION PRACTICE,168.55367,Metformin 500mg tablets,28,51.53137,-0.05648
